iter	Passed	Remaining
354	342603	9308201
355	343759	9312403
356	344718	9311261
357	345572	9307291
358	346832	9314245
359	347841	9314410
360	348660	9309532
361	349496	9305109
362	350381	9301990
363	351117	9294973
364	352094	9294338
365	352851	9287896
366	353719	9284426
367	354523	9279255
368	355252	9272196
369	356127	9268949
370	356948	9264310
371	357888	9262779
372	358704	9258050
373	359642	9256462
374	360380	9249758
375	361248	9246431
376	362142	9243758
377	362885	9237260
378	363887	9237363
379	364747	9233869
380	365678	9232185
381	366762	9234345
382	367641	9231347
383	368416	9225763
384	369144	9219021
385	370051	9216774
386	370893	9212907
387	371726	9208861
388	372476	9202763
389	373496	9203337
390	374349	9199802
391	375276	9198102
392	376066	9193043
393	376888	9188812
394	377648	9183076
395	378517	9180005
396	379614	9182473
397	381083	9193880
398	382264	9198301
399	383511	9204270
400	384481	9203596
401	385728	9209502
402	387213	9221061
403	388424	9226035
404	390225	9244979
405	392441	9273599
406	394594	9300601
407	396006	9310030
408	397460	9320397
409	398607	9323527
410	399565	9322216
411	400439	9318965
412	401788	9326747
413	403058	9332648
414	404072	9332608
415	405271	9336833
416	406114	9332841
417	407027	9330461
418	409254	9358145
419	410658	9366918
420	411903	9372018
421	413015	9374079
422	413945	9372004
423	415239	9378140
424	416295	9378895
425	417360	9379845
426	418629	9385339
427	419418	9380089
428	420277	9376395
429	421460	9379945
430	422337	9376666
431	423189	9372859
432	424212	9372853
433	425059	9368937
434	425848	9363766
435	426699	9359988
436	427547	9356152
437	428300	9350242
438	429109	9345602
439	430069	9344236
440	430840	9338793
441	431710	9335494
442	432496	9330401
443	433269	9325059
444	434119	9321380
445	435119	9320932
446	435947	9316790
447	436885	9315028
448	438045	9317978
449	439295	9322822
450	440304	9322537
451	441159	9319002
452	442033	9315885
453	442870	9311980
454	443748	9308959
455	444669	9306861
456	445399	9300761
457	446226	9296699
458	447132	9294306
459	448335	9298094
460	449304	9296996
461	450141	9293176
462	450957	9288935
463	451800	9285286
464	453030	9289566
465	453902	9286504
466	454793	9283833
467	455873	9285015
468	456783	9282738
469	457723	9281079
470	458662	9279399
471	459707	9279852
472	460787	9281011
473	461602	9276848
474	462675	9277861
475	463609	9276081
476	464587	9275196
477	465222	9267470
478	465963	9261868
479	466704	9256305
480	467481	9251476
481	468198	9245464
482	468844	9238090
483	469601	9232916
484	470288	9226378
485	470949	9219371
486	471624	9212652
487	472314	9206267
488	472922	9198301
489	473465	9189093
490	474106	9181822
491	474684	9173380
492	475191	9163586
493	475774	9155292
494	476411	9148065
495	476991	9139766
496	477531	9130747
497	478108	9122471
498	479082	9121777
499	480472	9128980
500	481842	9135771
501	483178	9141886
502	484493	9147592
503	485742	9152010
504	487003	9156634
505	488274	9161419
506	489881	9172478
507	491357	9181026
508	492276	9179171
509	493219	9177754
510	494544	9183428
511	495629	9184626
512	496767	9186813
513	497905	9188964
514	498891	9188325
515	499758	9185481
516	500622	9182599
517	501565	9181159
518	502554	9180583
519	503468	9178616
520	504517	9179113
521	505433	9177197
522	506533	9178620
523	507656	9180443
524	508596	9178949
525	509692	9180278
526	510616	9178502
527	511584	9177520
528	512699	9179159
529	513798	9180519
530	515114	9185730
531	516402	9190407
532	517703	9195300
533	519274	9204964
534	520151	9202309
535	521038	9199830
536	522035	9199288
537	523085	9199687
538	524104	9199547
539	525044	9198004
540	526043	9197489
541	526964	9195625
542	527747	9191351
543	528693	9189942
544	529640	9188536
545	530603	9187412
546	531555	9186089
547	532641	9187095
548	533430	9182969
549	534324	9180669
550	535205	9178147
551	536167	9177008
552	537191	9176932
553	538139	9175568
554	539052	9173601
555	539882	9170240
556	540763	9167742
557	541722	9166559
558	542557	9163301
559	543396	9160111
560	544203	9156390
561	545060	9153529
562	545937	9150996
563	546910	9150079
564	547732	9146640
565	548670	9145161
566	549520	9142195
567	550420	9140085
568	551190	9135807
569	552117	9134161
570	553041	9132442
571	553792	9127899
572	554612	9124496
573	555407	9120680
574	556291	9118337
575	557128	9115233
576	558080	9114020
577	558979	9111939
578	559690	9106808
579	560399	9101664
580	561214	9098246
581	562167	9097067
582	563052	9094799
583	564068	9094643
584	564960	9092482
585	565925	9091509
586	566881	9090391
587	567769	9088172
588	568756	9087552
589	569681	9085930
590	570547	9083380
591	571540	9082861
592	572468	9081294
593	573479	9081060
594	574638	9083144
595	575498	9080509
596	576285	9076734
597	577183	9074722
598	578614	9081054
599	579497	9078797
600	580353	9076108
601	581408	9076545
602	582363	9075407
603	583359	9074917
604	584187	9071811
605	585087	9069816
606	586016	9068295
607	586952	9066874
608	587787	9063893
609	588578	9060255
610	589547	9059348
611	590404	9056725
612	591261	9054110
613	592188	9052581
614	592943	9048417
615	593762	9045237
616	594531	9041317
617	595308	9037514
618	596137	9034509
619	596956	9031369
620	597823	9028956
621	598682	9026441
622	599583	9024555
623	600490	9022757
624	601320	9019811
625	602252	9018392
626	603545	9022379
627	604768	9025299
628	606669	9038313
629	607911	9041471
630	608829	9039818
631	609808	9039067
632	610763	9037955
633	611600	9035088
634	612493	9033068
635	613660	9035089
636	614902	9038196
637	615839	9036821
638	616953	9038032
639	618099	9039711
640	619544	9045733
641	620595	9046007
642	621469	9043684
643	622978	9050606
644	624378	9055902
645	625664	9059545
646	627151	9066070
647	628239	9066810
648	629651	9072220
649	630824	9074171
650	632185	9078802
651	633475	9082403
652	634847	9087169
653	636206	9091717
654	637257	9091870
655	639432	9108019
656	641001	9115489
657	642873	9127242
658	644478	9135158
659	645829	9139467
660	647160	9143460
661	648194	9143256
662	649600	9148291
663	650811	9150569
664	651911	9151270
665	653477	9158497
666	655267	9168837
667	656543	9171957
668	657976	9177249
669	659183	9179371
670	660629	9184816
671	661806	9186509
672	663289	9192424
673	664783	9198477
674	666080	9201783
675	667387	9205213
676	668769	9209655
677	670232	9215200
678	671138	9213078
679	672412	9216007
680	673524	9216699
681	674783	9219396
682	676002	9221547
683	677045	9221280
684	678311	9224042
685	679384	9224175
686	680400	9223536
687	681539	9224553
688	682748	9226524
689	683697	9224957
690	684548	9222092
691	685476	9220256
692	686483	9219489
693	687281	9215906
694	688376	9216325
695	689044	9211016
696	689991	9209454
