iter	Passed	Remaining
354	122946	3340326
355	123265	3339247
356	123598	3338548
357	123946	3338243
358	124319	3338623
359	124651	3337897
360	125013	3337968
361	125364	3337751
362	125700	3337110
363	126039	3336588
364	126386	3336260
365	126741	3336139
366	127071	3335364
367	127433	3335429
368	127808	3335823
369	128187	3336330
370	128562	3336731
371	128940	3337203
372	129310	3337458
373	129647	3336856
374	130006	3336826
375	130370	3336928
376	130757	3337604
377	131110	3337420
378	131528	3338888
379	131950	3340421
380	132270	3339387
381	132620	3339129
382	132930	3337836
383	133278	3337516
384	133610	3336783
385	133933	3335837
386	134252	3334808
387	134603	3334562
388	134935	3333852
389	135259	3332924
390	135600	3332446
391	135947	3332106
392	136286	3331559
393	136618	3330844
394	136974	3330722
395	137340	3330852
396	137677	3330264
397	138041	3330345
398	138440	3331238
399	138912	3333905
400	139247	3333264
401	139624	3333627
402	140045	3335038
403	140421	3335366
404	140956	3339444
405	141326	3339615
406	141761	3341327
407	142211	3343360
408	142606	3344105
409	142966	3344024
410	143297	3343258
411	143724	3344741
412	144101	3345038
413	144423	3344056
414	144814	3344701
415	145185	3344846
416	145535	3344527
417	145872	3343909
418	146240	3343989
419	146564	3343062
420	146933	3343174
421	147324	3343788
422	147718	3344446
423	148119	3345270
424	148507	3345787
425	148864	3345610
426	149209	3345155
427	149548	3344572
428	149931	3344978
429	150282	3344657
430	150656	3344843
431	150995	3344261
432	151348	3344001
433	151700	3343709
434	152048	3343309
435	152385	3342702
436	152790	3343560
437	153131	3343031
438	153500	3343095
439	153839	3342513
440	154202	3342450
441	154581	3342726
442	155177	3347698
443	155556	3347972
444	155967	3348928
445	156319	3348592
446	156654	3347911
447	156999	3347458
448	157323	3346542
449	157660	3345915
450	158026	3345886
451	158410	3346252
452	158776	3346224
453	159103	3345380
454	159415	3344226
455	159755	3343662
456	160106	3343322
457	160435	3342515
458	160765	3341741
459	161123	3341560
460	161486	3341475
461	161865	3341708
462	162198	3341001
463	162530	3340288
464	162854	3339390
465	163221	3339383
466	163581	3339237
467	163912	3338496
468	164269	3338273
469	164640	3338352
470	164975	3337681
471	165357	3337983
472	165710	3337689
473	166051	3337140
474	166355	3335875
475	166742	3336257
476	167098	3336014
477	167468	3336058
478	167844	3336209
479	168176	3335501
480	168522	3335070
481	168898	3335214
482	169278	3335460
483	169614	3334822
484	169922	3333636
485	170223	3332324
486	170547	3331446
487	170878	3330735
488	171238	3330577
489	171591	3330276
490	171962	3330335
491	172345	3330605
492	172744	3331195
493	173068	3330333
494	173401	3329650
495	173751	3329302
496	174117	3329254
497	174424	3328077
498	174726	3326802
499	175051	3325986
500	175352	3324704
501	175690	3324125
502	176032	3323612
503	176358	3322820
504	176680	3321947
505	177000	3321040
506	177304	3319828
507	177613	3318712
508	177917	3317515
509	178226	3316408
510	178539	3315382
511	178844	3314211
512	179153	3313118
513	179460	3311981
514	179784	3311176
515	180103	3310280
516	180434	3309596
517	180742	3308500
518	181056	3307507
519	181365	3306430
520	181678	3305440
521	181985	3304327
522	182285	3303091
523	182601	3302151
524	182903	3300975
525	183202	3299738
526	183504	3298560
527	183808	3297419
528	184126	3296527
529	184440	3295566
530	184839	3296124
531	185143	3295005
532	185582	3296265
533	185889	3295185
534	186211	3294379
535	186529	3293499
536	186875	3293117
537	187208	3292500
538	187528	3291671
539	187855	3290947
540	188175	3290110
541	188496	3289294
542	188822	3288570
543	189127	3287476
544	189424	3286249
545	189812	3286607
546	190168	3286411
547	190535	3286383
548	190860	3285650
549	191171	3284668
550	191476	3283600
551	191783	3282557
552	192101	3281697
553	192417	3280818
554	192733	3279950
555	193072	3279461
556	193369	3278251
557	193719	3277963
558	194034	3277065
559	194339	3276014
560	194638	3274851
561	194957	3274043
562	195277	3273237
563	195585	3272240
564	195904	3271427
565	196232	3270771
566	196535	3269698
567	196830	3268501
568	197161	3267896
569	197469	3266910
570	197775	3265886
571	198087	3264986
572	198398	3264046
573	198689	3262796
574	199009	3262025
575	199333	3261319
576	199636	3260269
577	199942	3259265
578	200261	3258493
579	200584	3257763
580	200896	3256882
581	201197	3255801
582	201502	3254797
583	201809	3253830
584	202108	3252739
585	202432	3252054
586	202745	3251183
587	203056	3250288
588	203375	3249521
589	203668	3248332
590	203993	3247670
591	204314	3246951
592	204624	3246042
593	204944	3245301
594	205248	3244303
595	205548	3243251
